ticket_number,total_ticket
151485.0,7.0
151486.0,2.6
151487.0,1.3
151488.0,3.0
151489.0,2.6
151490.0,9.7
151491.0,2.6
151492.0,6.5
151493.0,1.15
151494.0,1.3
151495.0,2.6
151496.0,2.9000000000000004
151497.0,3.9000000000000004
151498.0,8.3
151499.0,1.15
151500.0,1.3
151501.0,1.3
151502.0,1.3
151503.0,2.6
151504.0,6.3
151505.0,5.3
151506.0,2.6
151507.0,2.6
151508.0,1.3
151509.0,4.0
151510.0,1.0
151511.0,1.7
151512.0,1.6
151513.0,3.7
151514.0,3.0
151515.0,1.15
151516.0,2.9000000000000004
151517.0,1.3
151518.0,2.0
151519.0,6.3
151520.0,2.0
151521.0,2.9000000000000004
151522.0,6.7
151523.0,2.6
151524.0,2.6
151525.0,6.0
151526.0,1.3
151527.0,2.6
151528.0,4.35
151529.0,1.3
151530.0,3.6
151531.0,1.3
151532.0,3.9000000000000004
151533.0,1.3
151534.0,1.9
151535.0,2.6
151536.0,1.3
151537.0,1.3
151538.0,1.0
151539.0,3.8
151540.0,2.3
151541.0,1.15
151542.0,5.3
151543.0,1.2
151544.0,3.75
151545.0,2.0
151546.0,2.0
151547.0,5.8999999999999995
151548.0,2.5
151549.0,2.3
151550.0,9.5
151551.0,4.8
151552.0,1.4
151553.0,1.15
151554.0,2.0
151555.0,2.6
151556.0,1.3
151557.0,1.8499999999999999
151558.0,7.800000000000001
151559.0,2.6
151560.0,1.3
151561.0,1.2
151562.0,3.0
151563.0,15.0
151564.0,3.9000000000000004
151565.0,2.6
151566.0,2.0
151567.0,3.9000000000000004
151568.0,2.3
151569.0,1.15
151570.0,1.0
151571.0,1.9
151572.0,3.3
151573.0,2.0
151574.0,1.3
151575.0,1.8499999999999999
