ticket_number,total_ticket
151133.0,3.0
151134.0,1.05
151135.0,1.8
151136.0,4.5
151137.0,2.4
151138.0,3.9
151139.0,1.2
151140.0,3.55
151141.0,9.0
151142.0,2.4
151143.0,3.7
151144.0,1.2
151145.0,11.4
151146.0,8.0
151147.0,1.2
151148.0,2.1
151149.0,1.2
151150.0,2.1
151151.0,1.2
151152.0,1.2
151153.0,2.4
151154.0,21.05
151155.0,4.199999999999999
151156.0,1.5
151157.0,1.8
151158.0,2.1
151159.0,3.7
151160.0,2.4
151161.0,2.4
151162.0,1.4
151163.0,27.5
151164.0,0.9
151165.0,4.8
151166.0,2.4
151167.0,1.2
151168.0,1.2
151169.0,2.4
151170.0,1.2
151171.0,3.5999999999999996
151172.0,1.8
151173.0,2.4
151174.0,1.2
151175.0,1.7000000000000002
151176.0,1.9500000000000002
151177.0,2.4
151178.0,6.5
151179.0,1.15
151180.0,1.2
151181.0,3.5999999999999996
151183.0,1.2
151184.0,1.2
151185.0,1.2
151186.0,12.9
151187.0,4.5
151188.0,1.2
151189.0,8.0
151190.0,4.4
151191.0,2.25
151192.0,1.05
151193.0,12.4
151194.0,2.4
151195.0,13.2
151196.0,9.5
151197.0,3.4
151198.0,1.05
151199.0,2.25
151200.0,4.8
151201.0,2.5
151202.0,13.05
151203.0,4.0
151204.0,5.65
151206.0,2.1
151207.0,12.0
151209.0,8.55
151210.0,9.2
151211.0,7.800000000000001
151212.0,12.7
151213.0,1.05
151214.0,1.8
151215.0,5.9
151216.0,1.5
151217.0,4.7
151218.0,1.05
151219.0,1.2
151220.0,3.5999999999999996
151221.0,6.75
151222.0,0.9
151223.0,2.5
151224.0,1.2
151225.0,4.2
151226.0,5.0
151227.0,7.3
151228.0,8.0
151229.0,1.2
151230.0,9.6
151231.0,7.4
151232.0,3.4000000000000004
151233.0,4.5
151234.0,0.6
151235.0,3.5999999999999996
151236.0,0.9
151237.0,1.2
151238.0,3.6
151239.0,3.5999999999999996
151240.0,4.6000000000000005
151241.0,12.3
151242.0,1.05
151243.0,26.0
151244.0,1.9
151245.0,3.3000000000000003
151246.0,2.4
151247.0,1.2
151248.0,0.9
151249.0,0.6
151250.0,13.2
151251.0,36.0
151252.0,8.9
151253.0,1.05
151254.0,1.2
151255.0,2.4
151256.0,0.6
151257.0,10.6
151258.0,1.2
151259.0,6.0
151260.0,1.05
151261.0,1.05
151262.0,3.0
151263.0,2.4
151264.0,9.5
151265.0,12.0
151266.0,0.6
151267.0,16.2
151268.0,6.0
151269.0,10.4
151270.0,9.2
151271.0,4.8
151272.0,2.55
151273.0,3.5999999999999996
151274.0,4.5
151275.0,1.65
151276.0,0.9
151277.0,2.4
151278.0,1.05
151279.0,2.5
151281.0,4.6
151282.0,3.5999999999999996
151283.0,2.55
151284.0,1.05
151285.0,1.2
151286.0,8.9
151287.0,2.1
151288.0,3.9
151289.0,4.199999999999999
151290.0,2.4
151291.0,3.5999999999999996
